application/1d-interleaved-parityfec;;
application/3gpp-ims+xml;;
application/activemessage;;
application/andrew-inset;ez;
application/applefile;;base64
application/atom+xml;atom;8bit
application/atomcat+xml;atomcat;
application/atomdeleted+xml;;
application/atomicmail;;
application/atomsvc+xml;atomsvc;
application/batch-smtp;;
application/beep+xml;;
application/calendar+xml;;
application/call-completion;;
application/cals-1840;;
application/ccmp+xml;;
application/ccxml+xml;ccxml;
application/cdmi-capability;cdmia;
application/cdmi-container;cdmic;
application/cdmi-domain;cdmid;
application/cdmi-object;cdmio;
application/cdmi-queue;cdmiq;
application/cea-2018+xml;;
application/cfw;;
application/cnrp+xml;;
application/commonground;dp;
application/conference-info+xml;;
application/cpl+xml;;
application/csrattrs;;
application/csta+xml;;
application/cstadata+xml;;
application/cybercash;;
application/dash+xml;;
application/dca-rft;;
application/dec-dx;;
application/dialog-info+xml;;
application/dicom;;
application/dns;;
application/dskpp+xml;;
application/dssc+der;dssc;
application/dssc+xml;xdssc;
application/dvcs;;
application/ecmascript;es,ecma,js;
application/edi-consent;;
application/edi-x12;;
application/edifact;;
application/emma+xml;emma;
application/encaprtp;;
application/epp+xml;;
application/eshop;;
application/exi;exi;
application/fastinfoset;;
application/fastsoap;;
application/fdt+xml;;
application/fits;;
application/font-sfnt;;
application/font-tdpfr;pfr;
application/font-woff;;
application/framework-attributes+xml;;
application/gzip;;
application/h224;;
application/held+xml;;
application/http;;
application/hyperstudio;stk;
application/ibe-key-request+xml;;
application/ibe-pkg-reply+xml;;
application/ibe-pp-data;;
application/iges;iges,igs;
application/im-iscomposing+xml;;
application/index;;
application/index.cmd;;
application/index.obj;;
application/index.response;;
application/index.vnd;;
application/inkml+xml;ink;
application/iotp;;
application/ipfix;ipfix;
application/ipp;;
application/isup;;
application/its+xml;;
application/javascript;js;8bit
application/json;json;8bit
application/json-patch+json;;
application/kpml-request+xml;;
application/kpml-response+xml;;
application/ld+json;;
application/link-format;;
application/lost+xml;lostxml;
application/lostsync+xml;;
application/mac-binhex40;hqx;8bit
application/macwriteii;;
application/mads+xml;mads;
application/marc;mrc;
application/marcxml+xml;mrcx;
application/mathematica;nb,nbp,ma,mb;
application/mathml+xml;mathml;
application/mathml-content+xml;;
application/mathml-presentation+xml;;
application/mbox;mbox;
application/media-policy-dataset+xml;;
application/media_control+xml;;
application/mediaservercontrol+xml;mscml;
application/metalink4+xml;meta4;
application/mets+xml;mets;
application/mikey;;
application/mods+xml;mods;
application/moss-keys;;
application/moss-signature;;
application/mosskey-data;;
application/mosskey-request;;
application/mp21;m21;
application/mp4;mp4s;
application/mpeg4-generic;;
application/mpeg4-iod;;
application/mpeg4-iod-xmt;;
application/mrb-consumer+xml;;
application/mrb-publish+xml;;
application/msc-ivr+xml;;
application/msc-mixer+xml;;
application/msword;doc,dot,w6w,wiz,word;
application/mxf;mxf;
application/nasdata;;
application/news-checkgroups;;
application/news-groupinfo;;
application/news-transmission;;
application/nlsml+xml;;
application/nss;;
application/ocsp-request;orq;
application/ocsp-response;ors;
application/octet-stream;so,a,dump,lhx,saveme,zoo,bpk,deploy,dist,distz,lrf;base64
application/oda;oda;
application/ogg;ogx;
application/oxps;oxps;
application/p2p-overlay+xml;;
application/parityfec;;
application/patch-ops-error+xml;xer;
application/pdf;pdf;base64
application/pgp-encrypted;pgp;7bit
application/pgp-keys;key;7bit
application/pgp-signature;sig,pgp,asc;base64
application/pidf+xml;;
application/pidf-diff+xml;;
application/pkcs10;p10;
application/pkcs7-mime;p7m,p7c;
application/pkcs7-signature;p7s;
application/pkcs8;p8;
application/pkix-attr-cert;ac;
application/pkix-cert;cer,crt;
application/pkix-crl;crl;
application/pkixcmp;pki;
application/pls+xml;pls;
application/poc-settings+xml;;
application/postscript;ps-z,ps,ai,eps,epsi,epsf,eps2,eps3;base64
application/provenance+xml;;
application/prs.alvestrand.titrax-sheet;;
application/prs.cww;cw,cww;
application/prs.nprend;rnd,rct;
application/prs.plucker;;
application/prs.rdf-xml-crypt;;
application/prs.xsf+xml;;
application/pskc+xml;pskcxml;
application/raptorfec;;
application/rdf+xml;rdf;8bit
application/reginfo+xml;rif;
application/relax-ng-compact-syntax;rnc;
application/remote-printing;;
application/resource-lists+xml;rl;
application/resource-lists-diff+xml;rld;
application/riscos;;
application/rlmi+xml;;
application/rls-services+xml;rs;
application/rpki-ghostbusters;gbr;
application/rpki-manifest;mft;
application/rpki-roa;roa;
application/rpki-updown;;
application/rtf;rtf,rtx;8bit
application/rtploopback;;
application/rtx;;
application/samlassertion+xml;;
application/samlmetadata+xml;;
application/sbml+xml;sbml;
application/scvp-cv-request;scq;
application/scvp-cv-response;scs;
application/scvp-vp-request;spq;
application/scvp-vp-response;spp;
application/sdp;sdp;
application/sep+xml;;
application/sep-exi;;
application/session-info;;
application/set-payment;;
application/set-payment-initiation;setpay;
application/set-registration;;
application/set-registration-initiation;setreg;
application/sgml;;
application/sgml-open-catalog;soc;
application/shf+xml;shf;
application/sieve;siv;
application/simple-filter+xml;;
application/simplesymbolcontainer;;
application/slate;;
application/smil;smi,smil;8bit
application/smil+xml;smi,smil;
application/smpte336m;;
application/soap+fastinfoset;;
application/soap+xml;;
application/sparql-query;rq;
application/sparql-results+xml;srx;
application/spirits-event+xml;;
application/sql;;
application/srgs;gram;
application/srgs+xml;grxml;
application/sru+xml;sru;
application/ssml+xml;ssml;
application/tamp-apex-update;;
application/tamp-apex-update-confirm;;
application/tamp-community-update;;
application/tamp-community-update-confirm;;
application/tamp-error;;
application/tamp-sequence-adjust;;
application/tamp-sequence-adjust-confirm;;
application/tamp-status-query;;
application/tamp-status-response;;
application/tamp-update;;
application/tamp-update-confirm;;
application/tei+xml;tei;
application/thraud+xml;tfi;
application/timestamp-query;;
